Seed,Routing,Best_Val_Acc,Best_Val_F1,Test_Acc,Test_F1,GFLOPS,Test_Runtime_ms,Test_VRAM_MB,Test_Entropy,Test_Expert_Usage,Backbone_Params,Backbone_Memory_MB
42,smoe,0.439,0.43618405964454904,0.421,0.4174337811086534,189.626059776,115.52311882140144,8237.17724609375,0.0,None,369163264,1408.24609375
42,micro,0.451,0.3621382067965662,0.437,0.351495549530543,172.71148032,107.0931941743881,7417.58251953125,0.0,None,369163264,1408.24609375
42,expert_choice,0.429,0.4284495360684269,0.397,0.39739412408188785,160.366595072,100.78509270198761,8192.33251953125,0.0,None,369163264,1408.24609375
42,adaptive,0.333,0.16654163540885222,0.333,0.16654163540885222,172.446190592,97.11111537993901,8135.07958984375,0.0,None,369163264,1408.24609375
42,deepseek,0.44,0.43571047926501016,0.406,0.3994147795325859,172.445142016,111.97942400735522,8224.37255859375,0.0,None,369163264,1408.24609375
