Seed,Epoch,Routing,Val_Acc,Val_F1,Val_Runtime_ms,Val_VRAM_MB,Val_Entropy,Val_Expert_Usage
42,1,smoe,0.333,0.1665416354088522,114.16647547767276,8687.24951171875,0.0,
42,2,smoe,0.448,0.3593219680977546,114.40541630699522,8687.24951171875,0.0,
42,3,smoe,0.439,0.3521044894485386,114.46065751333086,8687.24951171875,0.0,
42,4,smoe,0.441,0.3943579298372264,114.40517031957232,8687.24951171875,0.0,
42,5,smoe,0.432,0.4303121645481658,114.53484353565034,8687.24951171875,0.0,
42,6,smoe,0.439,0.436184059644549,114.48566497318328,8687.24951171875,0.0,
42,7,smoe,0.436,0.4235329559197006,114.29321198236376,8687.24951171875,0.0,
42,8,smoe,0.418,0.4151162448248229,114.38828422909693,8687.24951171875,0.0,
42,9,smoe,0.407,0.4075067988571569,114.44759368896484,8687.24951171875,0.0,
42,1,micro,0.317,0.1728608623345465,105.1496664683024,11749.08740234375,0.0,
42,2,micro,0.451,0.3621382067965662,105.00311473059276,11749.08740234375,0.0,
42,3,micro,0.451,0.3611389522514842,105.24051908462766,11749.08740234375,0.0,
42,4,micro,0.424,0.3370356901132426,105.14742987496513,11749.08740234375,0.0,
42,5,micro,0.389,0.3018507307059687,105.07910213773212,11749.08740234375,0.0,
42,1,expert_choice,0.333,0.1665416354088522,99.55034558735196,11592.16015625,0.0,
42,2,expert_choice,0.394,0.3551145460594596,99.676113280039,11592.16015625,0.0,
42,3,expert_choice,0.39,0.3894121504268367,99.76195153735932,11592.16015625,0.0,
42,4,expert_choice,0.407,0.3671406370184114,99.9308919149732,11592.16015625,0.0,
42,5,expert_choice,0.38,0.3681525242746951,99.65026946294874,11592.16015625,0.0,
42,6,expert_choice,0.406,0.3921676228237957,99.52656049577016,11592.16015625,0.0,
42,7,expert_choice,0.366,0.2907972765209752,99.60532188415527,11592.16015625,0.0,
42,8,expert_choice,0.416,0.4148040345815383,99.70453050401476,11592.16015625,0.0,
42,9,expert_choice,0.373,0.3505828822934633,99.9233230711922,11592.16015625,0.0,
42,10,expert_choice,0.424,0.4143688113165147,99.54725371466742,11592.16015625,0.0,
42,11,expert_choice,0.433,0.4191759913294176,99.5904112619067,11592.16015625,0.0,
42,12,expert_choice,0.408,0.3973848942052618,99.3972240932404,11592.16015625,0.0,
42,13,expert_choice,0.429,0.4284495360684269,99.78914639306448,11592.16015625,0.0,
42,14,expert_choice,0.416,0.4157913352492475,99.57215521070692,11592.16015625,0.0,
42,15,expert_choice,0.416,0.4086980684189553,100.02556301298596,11592.16015625,0.0,
42,16,expert_choice,0.423,0.4244241041014562,99.4378271557036,11592.16015625,0.0,
42,1,adaptive,0.333,0.1665416354088522,95.49207157558864,12309.90966796875,0.0,
42,2,adaptive,0.333,0.1665416354088522,95.51430883861724,12309.90966796875,0.0,
42,3,adaptive,0.333,0.1665416354088522,95.40915489196776,12309.90966796875,0.0,
42,4,adaptive,0.333,0.1665416354088522,95.39973168146044,12309.90966796875,0.0,
42,1,deepseek,0.333,0.1665416354088522,108.79653597634936,12191.4052734375,0.0,
42,2,deepseek,0.442,0.3484871173750275,110.72864608159142,12228.63427734375,0.0,
42,3,deepseek,0.368,0.3341325916674058,109.88055713593012,12229.04052734375,0.0,
42,4,deepseek,0.44,0.4357104792650101,110.92962537493024,12229.04052734375,0.0,
42,5,deepseek,0.403,0.4009241617119258,110.71520003061444,12229.04052734375,0.0,
42,6,deepseek,0.406,0.3983579179342979,111.81037388150654,12229.04052734375,0.0,
42,7,deepseek,0.398,0.3948868654787822,111.30272017584906,12229.04052734375,0.0,None
