Seed,Epoch,Routing,Val_Acc,Val_F1,Val_Runtime_ms,Val_VRAM_MB,Val_Entropy,Val_Expert_Usage
42,1,expert_choice,0.405,0.396594337332511,73.20788644608997,9050.22998046875,0.0,
42,2,expert_choice,0.424,0.3388865128142033,73.17089466821581,9050.22998046875,0.0,
42,3,expert_choice,0.417,0.3407603499393434,73.44865798950195,9050.22998046875,0.0,
42,4,expert_choice,0.333,0.1665416354088522,73.29754886173066,9050.22998046875,0.0,
42,1,smoe,0.326,0.1728936137589123,329.6192515464056,14464.9697265625,0.0,
42,2,smoe,0.334,0.1669165417291354,329.55724284762425,14464.9697265625,0.0,
42,3,smoe,0.333,0.1665416354088522,329.6274173827398,14464.9697265625,0.0,
42,4,smoe,0.333,0.1665416354088522,329.6428124109904,14464.9697265625,0.0,
42,1,micro,0.381,0.2882795429905763,80.04751659574963,13761.54443359375,0.0,
42,2,micro,0.387,0.3058812385221581,80.20251421701342,13761.54443359375,0.0,
42,3,micro,0.333,0.1665416354088522,80.07354679561797,13761.54443359375,0.0,
42,4,micro,0.333,0.1665416354088522,80.05406459172566,13761.54443359375,0.0,
42,5,micro,0.334,0.1686567164179104,80.099622408549,13761.54443359375,0.0,
42,1,adaptive,0.333,0.1665416354088522,575.0188657215664,13830.36767578125,0.0,
42,2,adaptive,0.333,0.1665416354088522,575.0296882220676,13830.36767578125,0.0,
42,3,adaptive,0.333,0.1665416354088522,561.0989814712888,13981.546875,0.0,
42,4,adaptive,0.333,0.1665416354088522,575.0884924616132,13981.546875,0.0,
42,1,deepseek,0.334,0.1669165417291354,199.9612138384865,14233.2568359375,0.0,
42,2,deepseek,0.333,0.1665416354088522,198.51190419424148,14237.75146484375,0.0,
42,3,deepseek,0.333,0.1665416354088522,197.3585571561541,14255.6640625,0.0,
42,4,deepseek,0.333,0.16654163540885222,197.4852170263018,14255.6640625,0.0,None
